DATE,USALOLITOAASTSAM
2000-01-01,101.373394757766
2000-02-01,101.307948762891
2000-03-01,101.211579595688
2000-04-01,101.093191056934
2000-05-01,100.947375569107
2000-06-01,100.783089848814
2000-07-01,100.600841780002
2000-08-01,100.386454700158
2000-09-01,100.136818580332
2000-10-01,99.8353955355492
2000-11-01,99.4924544384815
2000-12-01,99.1232761766684
2001-01-01,98.7865337341418
2001-02-01,98.5283564381723
2001-03-01,98.3614248541388
2001-04-01,98.2774505452795
2001-05-01,98.2511704798726
2001-06-01,98.2279522093492
2001-07-01,98.1833711862075
2001-08-01,98.1205422364184
2001-09-01,98.0797949880945
2001-10-01,98.1306281960496
2001-11-01,98.2987670626016
2001-12-01,98.5630983837654
2002-01-01,98.8692007149855
2002-02-01,99.1592803640643
2002-03-01,99.3771292054204
2002-04-01,99.467213067611
2002-05-01,99.4099182873882
2002-06-01,99.213987449999
2002-07-01,98.9320631250008
2002-08-01,98.6310622879133
2002-09-01,98.3517229120771
2002-10-01,98.1317987288604
2002-11-01,97.9863105583494
2002-12-01,97.888555823384
2003-01-01,97.817272704837
2003-02-01,97.783096421709
2003-03-01,97.8183479435325
2003-04-01,97.9503964357439
2003-05-01,98.173603723175
2003-06-01,98.4612726301053
2003-07-01,98.798782243329
2003-08-01,99.1748610102057
2003-09-01,99.5774661480807
2003-10-01,99.9849607556768
2003-11-01,100.364160619438
2003-12-01,100.681930649507
2004-01-01,100.921236206483
2004-02-01,101.064941444382
2004-03-01,101.131809736442
2004-04-01,101.133947730905
2004-05-01,101.091310682141
2004-06-01,101.013529018558
2004-07-01,100.907008521808
2004-08-01,100.788448611038
2004-09-01,100.685049387672
2004-10-01,100.615371134175
2004-11-01,100.587997488998
2004-12-01,100.576207054791
2005-01-01,100.544254134136
2005-02-01,100.485690224325
2005-03-01,100.411920456352
2005-04-01,100.35904929942
2005-05-01,100.352395667155
2005-06-01,100.389011940112
2005-07-01,100.442580289564
2005-08-01,100.513940718187
2005-09-01,100.618749812701
2005-10-01,100.769094174383
2005-11-01,100.950722495772
2005-12-01,101.124312865821
2006-01-01,101.259276768784
2006-02-01,101.346048158814
2006-03-01,101.378532741895
2006-04-01,101.352513840296
2006-05-01,101.290699813021
2006-06-01,101.229184571129
2006-07-01,101.189459442917
2006-08-01,101.19353402526
2006-09-01,101.253445492333
2006-10-01,101.347729730142
2006-11-01,101.462076923501
2006-12-01,101.585780764336
2007-01-01,101.70629460971
2007-02-01,101.824243642636
2007-03-01,101.946119510877
2007-04-01,102.061776111637
2007-05-01,102.149572052437
2007-06-01,102.195194393758
2007-07-01,102.182394773046
2007-08-01,102.108217086111
2007-09-01,102.000347101834
2007-10-01,101.87941129509
2007-11-01,101.750489339124
2007-12-01,101.625373087458
2008-01-01,101.494000685579
2008-02-01,101.344112333772
2008-03-01,101.1775627464
2008-04-01,100.970126595153
2008-05-01,100.688914125146
2008-06-01,100.296330757999
2008-07-01,99.760575527776
2008-08-01,99.0648669218098
2008-09-01,98.2224896355455
2008-10-01,97.2959579745484
2008-11-01,96.4086000922858
2008-12-01,95.6617456335782
2009-01-01,95.1197005249761
2009-02-01,94.8201287779183
2009-03-01,94.7806985796111
2009-04-01,94.9909322459739
2009-05-01,95.3819828205814
2009-06-01,95.8825709609703
2009-07-01,96.4300571385469
2009-08-01,96.9832420520943
2009-09-01,97.510974375702
2009-10-01,97.9951781000113
2009-11-01,98.4380407217398
2009-12-01,98.8445874438168
2010-01-01,99.1953857400254
2010-02-01,99.455619232722
2010-03-01,99.6291061826409
2010-04-01,99.699171881368
2010-05-01,99.6763666630233
2010-06-01,99.6007936228761
2010-07-01,99.537278609977
2010-08-01,99.5357699628432
2010-09-01,99.6076647177816
2010-10-01,99.7391037765785
2010-11-01,99.9180845204784
2010-12-01,100.107325230246
2011-01-01,100.267143020501
2011-02-01,100.362478799572
2011-03-01,100.35776895342
2011-04-01,100.249984058942
2011-05-01,100.050729249653
2011-06-01,99.7829028996643
2011-07-01,99.4972139888854
2011-08-01,99.2592780372204
2011-09-01,99.1358292761573
2011-10-01,99.1566992259131
2011-11-01,99.3020612514123
2011-12-01,99.520159806758
2012-01-01,99.7379176761695
2012-02-01,99.8905407911143
2012-03-01,99.9508278755349
2012-04-01,99.9230015922522
2012-05-01,99.8308690209989
2012-06-01,99.7150564508138
2012-07-01,99.6259600757681
2012-08-01,99.5902797272439
2012-09-01,99.6223837871563
2012-10-01,99.6966870729957
2012-11-01,99.7952786208221
2012-12-01,99.9196466328739
2013-01-01,100.063403135689
2013-02-01,100.210340233688
2013-03-01,100.334268216615
2013-04-01,100.449583511154
2013-05-01,100.563395150797
2013-06-01,100.652634850682
2013-07-01,100.705998864282
2013-08-01,100.73593973994
2013-09-01,100.748381547154
2013-10-01,100.753200310571
2013-11-01,100.758670122188
2013-12-01,100.752399102537
2014-01-01,100.739838302946
2014-02-01,100.755801323095
2014-03-01,100.801380582452
2014-04-01,100.857801007578
2014-05-01,100.907007163134
2014-06-01,100.942015625024
2014-07-01,100.958610088492
2014-08-01,100.959337752927
2014-09-01,100.946473792448
2014-10-01,100.915525428388
2014-11-01,100.86539228139
2014-12-01,100.790600983479
2015-01-01,100.694361117654
2015-02-01,100.585952146336
2015-03-01,100.479416467865
2015-04-01,100.375267439598
2015-05-01,100.26515755656
2015-06-01,100.143039496149
2015-07-01,99.987147361936
2015-08-01,99.8077419311447
2015-09-01,99.6337954310177
2015-10-01,99.4898155297267
2015-11-01,99.3679450587823
2015-12-01,99.261778924303
2016-01-01,99.1761900111516
2016-02-01,99.1184734952036
2016-03-01,99.0994563010755
2016-04-01,99.1003205073339
2016-05-01,99.1051112739557
2016-06-01,99.1072384447106
2016-07-01,99.125260010599
2016-08-01,99.171387217631
2016-09-01,99.260111063812
2016-10-01,99.386316494498
2016-11-01,99.5340305953897
2016-12-01,99.6823585389919
2017-01-01,99.8009931534133
2017-02-01,99.8782290588316
2017-03-01,99.9150210861083
2017-04-01,99.9267865786752
2017-05-01,99.9341204703746
2017-06-01,99.9521451900724
