DATE,INDCPIALLMINMEI
2010-01-01,65.79535
2010-02-01,65.03028
2010-03-01,65.03028
2010-04-01,65.03028
2010-05-01,65.79535
2010-06-01,66.56041
2010-07-01,68.09053
2010-08-01,68.09053
2010-09-01,68.47306
2010-10-01,69.23813
2010-11-01,69.62066
2010-12-01,70.76825
2011-01-01,71.91584
2011-02-01,70.76825
2011-03-01,70.76825
2011-04-01,71.15078000000001
2011-05-01,71.53331
2011-06-01,72.29838000000002
2011-07-01,73.8285
2011-08-01,74.21103000000002
2011-09-01,75.35862
2011-10-01,75.74115999999998
2011-11-01,76.12368999999998
2011-12-01,75.35862
2012-01-01,75.74115999999998
2012-02-01,76.12368999999998
2012-03-01,76.88875
2012-04-01,78.41887
2012-05-01,78.8014
2012-06-01,79.56646999999998
2012-07-01,81.09659
2012-08-01,81.86164999999998
2012-09-01,82.24418
2012-10-01,83.00924999999998
2012-11-01,83.39178000000001
2012-12-01,83.77431
2013-01-01,84.53936999999999
2013-02-01,85.30443000000001
2013-03-01,85.68696
2013-04-01,86.45203000000002
2013-05-01,87.21709
2013-06-01,88.36468
2013-07-01,89.89480999999996
2013-08-01,90.65987
2013-09-01,91.0424
2013-10-01,92.18999
2013-11-01,92.95506
2013-12-01,91.42493
2014-01-01,90.65987
2014-02-01,91.0424
2014-03-01,91.42493
2014-04-01,92.57253
2014-05-01,93.33759
2014-06-01,94.10265
2014-07-01,96.39783000000001
2014-08-01,96.78036
2014-09-01,96.78036
2014-10-01,96.78036
2014-11-01,96.78036
2014-12-01,96.78036
2015-01-01,97.1629
2015-02-01,96.78036
2015-03-01,97.1629
2015-04-01,97.92796
2015-05-01,98.69302
2015-06-01,99.84061
2015-07-01,100.6057
2015-08-01,100.9882
2015-09-01,101.7533
2015-10-01,102.9009
2015-11-01,103.2834
2015-12-01,102.9009
2016-01-01,102.9009
2016-02-01,102.1358
2016-03-01,102.5183
2016-04-01,103.6659
2016-05-01,105.196
2016-06-01,105.9611
2016-07-01,107.1087
2016-08-01,106.3436
2016-09-01,105.9611
2016-10-01,106.3436
2016-11-01,105.9611
2016-12-01,105.196
2017-01-01,104.8135
2017-02-01,104.8135
2017-03-01,105.196
2017-04-01,105.9611
2017-05-01,106.3436
2017-06-01,107.1087
2017-07-01,109.0214
2017-08-01,109.0214
2017-09-01,109.0214
2017-10-01,109.7864
2017-11-01,110.169
2017-12-01,109.4039
2018-01-01,110.169
2018-02-01,109.7864
2018-03-01,109.7864
2018-04-01,110.169
2018-05-01,110.5515
2018-06-01,111.3165
2018-07-01,115.1419
2018-08-01,115.1419
2018-09-01,115.1419
2018-10-01,115.5244
2018-11-01,115.5244
2018-12-01,115.1419
2019-01-01,117.437
2019-02-01,117.437
2019-03-01,118.2021
2019-04-01,119.3497
2019-05-01,120.1148
2019-06-01,120.8798
2019-07-01,122.0274
2019-08-01,122.4099
2019-09-01,123.175
2019-10-01,124.3226
2019-11-01,125.4702
2019-12-01,126.2353
2020-01-01,126.2353
2020-02-01,125.4702
2020-03-01,124.7051
2020-04-01,125.8527
2020-05-01,126.2353
2020-06-01,127.0003
2020-07-01,128.5304
2020-08-01,129.2955
2020-09-01,130.1179
2020-10-01,131.6603
2020-11-01,132.101
2020-12-01,130.8891
2021-01-01,130.22799999999998
2021-02-01,131.1094
2021-03-01,131.7705
2021-04-01,132.3214
2021-05-01,132.8723
2021-06-01,134.0842
2021-07-01,135.2961
2021-08-01,135.5165
2021-09-01,135.847
2021-10-01,137.6098
2021-11-01,138.4912
2021-12-01,138.1607
2022-01-01,137.8302
2022-02-01,137.72
2022-03-01,138.8218
2022-04-01,140.6947
2022-05-01,142.127
2022-06-01,142.3474
2022-07-01,143.1186
2022-08-01,143.4492
2022-09-01,144.6611
2022-10-01,145.9832
2022-11-01,145.9832
2022-12-01,145.7628
2023-01-01,146.3137
2023-02-01,146.2036
2023-03-01,146.8646
2023-04-01,147.8562
2023-05-01,148.4071
2023-06-01,150.2801
2023-07-01,153.9159
2023-08-01,153.365
2023-09-01,151.492
2023-10-01,152.4836
2023-11-01,153.2548
2023-12-01,152.9243
2024-01-01,153.0345
2024-02-01,153.365
2024-03-01,153.0345
2024-04-01,153.5853
2024-05-01,154.1362
2024-06-01,155.7889
2024-07-01,157.2212
2024-08-01,157.111
2024-09-01,157.8822
2024-10-01,159.2043
2024-11-01,159.2043
2024-12-01,158.3229
2025-01-01,157.772
2025-02-01,157.3313
2025-03-01,157.5517
2025-04-01,158.71504902
2025-05-01,158.80652686
2025-06-01,159.38762359
2025-07-01,159.76818344
2025-08-01,160.2689311
2025-09-01,160.10833902000002
2025-10-01,159.26798172
2025-11-01,159.98440106999996
2025-12-01,160.17527793000002
2026-01-01,162.0791756
2026-02-01,162.38163473
2026-03-01,162.9084578
2026-04-01,164.238332725896
2026-05-01,165.063504018284
2026-06-01,166.36880150324203
