DATE,INDLOLITOAASTSAM
2000-01-01,104.937872569619
2000-02-01,104.954754673044
2000-03-01,104.85497421837
2000-04-01,104.64996532147
2000-05-01,104.358422705585
2000-06-01,104.002764892638
2000-07-01,103.605697445896
2000-08-01,103.189833868063
2000-09-01,102.77386503446
2000-10-01,102.371971642946
2000-11-01,101.988829647856
2000-12-01,101.625051861354
2001-01-01,101.281539232732
2001-02-01,100.956770504181
2001-03-01,100.644811238586
2001-04-01,100.342965047892
2001-05-01,100.048098330636
2001-06-01,99.7386384233549
2001-07-01,99.4353461981714
2001-08-01,99.1419646528692
2001-09-01,98.8637655997219
2001-10-01,98.6081228198714
2001-11-01,98.3800652973101
2001-12-01,98.1793563276546
2002-01-01,98.0023829353319
2002-02-01,97.8435431616521
2002-03-01,97.698631186914
2002-04-01,97.5642479458257
2002-05-01,97.4383977214446
2002-06-01,97.3198635781268
2002-07-01,97.2076146390828
2002-08-01,97.1046177440938
2002-09-01,97.0142424536094
2002-10-01,96.9428624715971
2002-11-01,96.89722666367
2002-12-01,96.8836892002669
2003-01-01,96.9085706115635
2003-02-01,96.9778795636639
2003-03-01,97.095970600817
2003-04-01,97.2620716031625
2003-05-01,97.4702646570182
2003-06-01,97.7120170368805
2003-07-01,97.9782673532003
2003-08-01,98.2593168266564
2003-09-01,98.5446675194593
2003-10-01,98.8246748310577
2003-11-01,99.0886787911024
2003-12-01,99.3271178562185
2004-01-01,99.53225346267
2004-02-01,99.7005040954461
2004-03-01,99.8315404337622
2004-04-01,99.9270266250859
2004-05-01,99.9895351641601
2004-06-01,100.024816807435
2004-07-01,100.035495211836
2004-08-01,100.022649233981
2004-09-01,99.9879196859632
2004-10-01,99.9326089716893
2004-11-01,99.8580379458064
2004-12-01,99.7673790228116
2005-01-01,99.6668067921105
2005-02-01,99.5629978884679
2005-03-01,99.4618431738069
2005-04-01,99.3692354661875
2005-05-01,99.2892928398661
2005-06-01,99.2248201648578
2005-07-01,99.1783215555285
2005-08-01,99.1499504932172
2005-09-01,99.1387023931342
2005-10-01,99.1445844121614
2005-11-01,99.1694544612197
2005-12-01,99.2138273161727
2006-01-01,99.276872269017
2006-02-01,99.3561241477946
2006-03-01,99.4465410115407
2006-04-01,99.5415594672537
2006-05-01,99.6367728578914
2006-06-01,99.7337943192316
2006-07-01,99.83511442714
2006-08-01,99.9423651232025
2006-09-01,100.056520128394
2006-10-01,100.177557259043
2006-11-01,100.304938807074
2006-12-01,100.43828755625
2007-01-01,100.582150388739
2007-02-01,100.742760970636
2007-03-01,100.925879603761
2007-04-01,101.131793871484
2007-05-01,101.353739126298
2007-06-01,101.577699713066
2007-07-01,101.785930131468
2007-08-01,101.959816021568
2007-09-01,102.082395145058
2007-10-01,102.137914699857
2007-11-01,102.112456005437
2007-12-01,101.998918188718
2008-01-01,101.797816683451
2008-02-01,101.520388243434
2008-03-01,101.183020258119
2008-04-01,100.806761818893
2008-05-01,100.415744010521
2008-06-01,100.038042905177
2008-07-01,99.7022901063801
2008-08-01,99.4303634493733
2008-09-01,99.2393456767467
2008-10-01,99.1392192810957
2008-11-01,99.1345000299508
2008-12-01,99.2231803942464
2009-01-01,99.3978534471925
2009-02-01,99.6486371071811
2009-03-01,99.9629484454623
2009-04-01,100.325540621431
2009-05-01,100.720093148832
2009-06-01,101.130440263805
2009-07-01,101.54335507256
2009-08-01,101.946725376154
2009-09-01,102.330740754203
2009-10-01,102.687242464058
2009-11-01,103.008930420445
2009-12-01,103.288078343697
2010-01-01,103.51992170162
2010-02-01,103.701808751646
2010-03-01,103.834273318344
2010-04-01,103.919460152127
2010-05-01,103.961339284551
2010-06-01,103.967467670446
2010-07-01,103.943352792815
2010-08-01,103.892211842633
2010-09-01,103.815883827545
2010-10-01,103.713507404237
2010-11-01,103.583016433264
2010-12-01,103.42317769573
2011-01-01,103.233043796537
2011-02-01,103.013980684407
2011-03-01,102.766448922292
2011-04-01,102.491227914259
2011-05-01,102.192338982503
2011-06-01,101.877390154164
2011-07-01,101.553582391979
2011-08-01,101.228454372867
2011-09-01,100.910681752594
2011-10-01,100.607500499576
2011-11-01,100.322631157519
2011-12-01,100.058685687479
2012-01-01,99.8172280444354
2012-02-01,99.5970545309046
2012-03-01,99.3971672200275
2012-04-01,99.2182650564709
2012-05-01,99.0605911303421
2012-06-01,98.9233893462835
2012-07-01,98.8040409139511
2012-08-01,98.699803938416
2012-09-01,98.6065616428719
2012-10-01,98.5192804657523
2012-11-01,98.4341669904675
2012-12-01,98.3482784345408
2013-01-01,98.2594684701875
2013-02-01,98.1671084610457
2013-03-01,98.073103406531
2013-04-01,97.9800119443673
2013-05-01,97.8915648627824
2013-06-01,97.8143695902605
2013-07-01,97.7575808061695
2013-08-01,97.7325741965877
2013-09-01,97.7504713950384
2013-10-01,97.8137015644723
2013-11-01,97.9191242520409
2013-12-01,98.0618158015845
2014-01-01,98.2356020581049
2014-02-01,98.4345104077782
2014-03-01,98.6518713535934
2014-04-01,98.879761824941
2014-05-01,99.1097843295635
2014-06-01,99.332679276006
2014-07-01,99.5415545316298
2014-08-01,99.7322193402817
2014-09-01,99.9013407503083
2014-10-01,100.046778270654
2014-11-01,100.167851352514
2014-12-01,100.263652790802
2015-01-01,100.3355042162
2015-02-01,100.384954330017
2015-03-01,100.41410713508
2015-04-01,100.426117517962
2015-05-01,100.42359902352
2015-06-01,100.407153708694
2015-07-01,100.376252196962
2015-08-01,100.330310739301
2015-09-01,100.269655906997
2015-10-01,100.193953697571
2015-11-01,100.101106571311
2015-12-01,99.9905493658382
2016-01-01,99.8621833826817
2016-02-01,99.7181022960225
2016-03-01,99.560156208429
2016-04-01,99.3899008629181
2016-05-01,99.2088274046844
2016-06-01,99.0197096860297
2016-07-01,98.8267524542879
2016-08-01,98.6377687591826
2016-09-01,98.4629683555721
2016-10-01,98.3144796218363
2016-11-01,98.2051132224783
2016-12-01,98.1469301399471
2017-01-01,98.1485279009739
2017-02-01,98.2124623743253
2017-03-01,98.335370813886
2017-04-01,98.5098954637694
2017-05-01,98.7270560183867
2017-06-01,98.9781406228473
2017-07-01,99.2539360814987
2017-08-01,99.5448693174212
2017-09-01,99.8419388029492
2017-10-01,100.137361632093
2017-11-01,100.424033151513
2017-12-01,100.694464839119
2018-01-01,100.942479602599
2018-02-01,101.162526818944
2018-03-01,101.35045736053
2018-04-01,101.502235318448
2018-05-01,101.612987693673
2018-06-01,101.679950812831
2018-07-01,101.702529693256
2018-08-01,101.682665287787
2018-09-01,101.623850680026
2018-10-01,101.532757899994
2018-11-01,101.416867705235
2018-12-01,101.282353607171
2019-01-01,101.134863275912
2019-02-01,100.978822637879
2019-03-01,100.817202327116
2019-04-01,100.651132611934
2019-05-01,100.483361598517
2019-06-01,100.317711284809
2019-07-01,100.159027233211
2019-08-01,100.011712024019
2019-09-01,99.8797306555118
2019-10-01,99.7650185096474
2019-11-01,99.6683435799789
2019-12-01,99.590132180607
2020-01-01,99.5327629063094
2020-02-01,99.4992904161856
2020-03-01,86.7694901600952
2020-04-01,62.9033455283344
2020-05-01,79.9583193090117
2020-06-01,89.3733713626404
2020-07-01,93.4942406098989
2020-08-01,95.7619159620183
2020-09-01,98.6945479419198
2020-10-01,100.148017759447
2020-11-01,100.289546623088
2020-12-01,100.428683064725
2021-01-01,100.56060655455
2021-02-01,100.681805905948
2021-03-01,100.789860813635
2021-04-01,100.883439588814
2021-05-01,100.961482255416
2021-06-01,101.022521103021
2021-07-01,101.065410447364
2021-08-01,101.089492419274
2021-09-01,101.094724249077
2021-10-01,101.082174180778
2021-11-01,101.053185111111
2021-12-01,101.00837627836
2022-01-01,100.947060345335
2022-02-01,100.868556093582
2022-03-01,100.772269773148
2022-04-01,100.65797140525
2022-05-01,100.527749831228
2022-06-01,100.385169230824
2022-07-01,100.233162461565
2022-08-01,100.074650388256
2022-09-01,99.9133206501455
2022-10-01,99.7531759240426
2022-11-01,99.5983610267634
2022-12-01,99.4525664164014
2023-01-01,99.3209429408414
2023-02-01,99.208079307376
2023-03-01,99.1170265344379
2023-04-01,99.0484672751243
2023-05-01,98.9999077044568
2023-06-01,98.9683034416414
2023-07-01,98.9506411712089
2023-08-01,98.9447477224824
2023-09-01,98.9497445408164
2023-10-01,98.9657883793287
2023-11-01,98.9931577134505
2023-12-01,99.030943332888
2024-01-01,99.0767983813515
2024-02-01,99.1280515337042
2024-03-01,99.1818382856972
2024-04-01,99.2356659111829
2024-05-01,99.28778536548
2024-06-01,99.3359747169211
2024-07-01,99.3775805182376
2024-08-01,99.4120136049736
2024-09-01,99.4403028680135
2024-10-01,99.466850565057
2024-11-01,99.4972084823183
2024-12-01,99.5369407986081
2025-01-01,99.5915837817228
2025-02-01,99.6641842127209
2025-03-01,99.7559406093685
2025-04-01,99.8646605426329
2025-05-01,99.9869974141023
2025-06-01,100.117822294234
2025-07-01,100.252666326552
2025-08-01,100.387158247603
2025-09-01,100.51795609251
2025-10-01,100.642324025631
2025-11-01,100.756940689099
2025-12-01,100.858399654428
2026-01-01,100.94592863203
2026-02-01,101.020662047975
2026-03-01,101.08506029868
2026-04-01,101.1433436197
2026-05-01,101.197985299606
2026-06-01,101.250471662087
